bin,n,avg_pred,avg_real,gap
"[0.50,0.60)",0,0.0,0.0,0.0
"[0.60,0.70)",0,0.0,0.0,0.0
"[0.70,0.80)",44,0.7529346206939352,0.4090909090909091,0.3438437116030261
"[0.80,0.90)",29,0.8227064988014409,0.4827586206896552,0.3399478781117857
"[0.90,1.00)",9,0.999999,0.5555555555555556,0.4444434444444444
