ts,bot,epoch,prob,thr,modo,y
1770421336.738861,fulll49,1770421327,0.7037037037037037,0.7,MANUAL,0
1770431304.9788525,fulll45,1770431274,0.7821782178217822,0.7,MANUAL,0
1770434861.9320223,fulll49,1770434843,0.8484848484848485,0.7,MANUAL,1
1770434959.2237315,fulll50,1770434912,0.7317073170731706,0.7,MANUAL,1
1770436379.8076882,fulll46,1770436341,0.7317073170731706,0.7,MANUAL,0
1770502602.067422,fulll48,1770502580,0.7023809523809523,0.7,MANUAL,1
1770503391.4428782,fulll45,1770503345,0.7054794520547946,0.7,MANUAL,1
1770505057.4921415,fulll45,1770505002,0.8,0.7,MANUAL,0
1770505212.1283338,fulll49,1770505199,0.7916666666666666,0.7,MANUAL,1
1770505744.8837633,fulll50,1770505730,0.7054794520547946,0.7,MANUAL,0
1770507359.910661,fulll45,1770507350,0.7054794520547946,0.7,MANUAL,1
1770509636.9559865,fulll49,1770509623,0.7916666666666666,0.7,MANUAL,0
1770510538.178744,fulll45,1770510531,0.7054794520547946,0.7,MANUAL,0
1770510617.986733,fulll50,1770510610,0.7054794520547946,0.7,MANUAL,0
1770510845.41239,fulll50,1770510839,0.7054794520547946,0.7,MANUAL,1
1770510959.1502693,fulll49,1770510943,0.7054794520547946,0.7,MANUAL,1
1770511074.133524,fulll46,1770511039,0.7054794520547946,0.7,MANUAL,0
1770604465.8694806,fulll46,1770604450,0.7435897435897436,0.7,MANUAL,1
1770605888.8289628,fulll46,1770605876,0.8636363636363636,0.7,MANUAL,0
1770608807.6939752,fulll47,1770608749,0.8636363636363636,0.7,MANUAL,0
1770820750.064406,fulll49,1770820740,0.7613636363636364,0.748449375190003,ORDEN_REAL,0
1770820769.447216,fulll48,1770820740,0.7613636363636364,0.748449375190003,ORDEN_REAL,1
1770820786.808716,fulll45,1770820754,0.7613636363636364,0.748449375190003,ORDEN_REAL,0
1770821682.758353,fulll49,1770821676,0.7710843373493976,0.7459524542883544,ORDEN_REAL,1
1770821697.907493,fulll46,1770821678,0.7710843373493976,0.7459524542883544,ORDEN_REAL,0
1770821872.187538,fulll48,1770821865,0.7710843373493976,0.7459524542883544,ORDEN_REAL,0
1770825614.191668,fulll47,1770825608,0.7647058823529411,0.7475756903027612,ORDEN_REAL,0
1770825629.295989,fulll47,1770825620,0.7647058823529411,0.7475756903027612,ORDEN_REAL,1
1770825774.267182,fulll48,1770825648,0.7647058823529411,0.7475756903027612,ORDEN_REAL,1
1770825789.493714,fulll48,1770825648,0.7647058823529411,0.7475756903027612,ORDEN_REAL,1
1770826776.056837,fulll47,1770826770,0.8888888888888888,0.7475756903027612,ORDEN_REAL,1
1770826793.62372,fulll50,1770826771,0.8181818181818182,0.7475756903027612,ORDEN_REAL,1
1770827882.317715,fulll47,1770827877,0.7906976744186046,0.7475756903027612,ORDEN_REAL,0
1770829629.75624,fulll49,1770829462,0.7894736842105263,0.7448951183218931,ORDEN_REAL,0
1770829647.091489,fulll48,1770829498,0.7614678899082569,0.7448951183218931,ORDEN_REAL,0
1770836150.029836,fulll46,1770836144,0.7733333333333333,0.7467014467014467,ORDEN_REAL,0
1770836315.860249,fulll49,1770836309,0.8846153846153846,0.7467014467014467,ORDEN_REAL,0
1770838923.810286,fulll50,1770838890,0.8235294117647058,0.7472901566425063,ORDEN_REAL,1
1770839262.528424,fulll49,1770839254,0.8235294117647058,0.7472901566425063,ORDEN_REAL,0
1770841062.4529,fulll49,1770841055,0.7543859649122807,0.7458963458963459,ORDEN_REAL,0
1770841875.765462,fulll50,1770841714,0.7569444444444444,0.7462507462507463,ORDEN_REAL,0
1770842427.331587,fulll50,1770842419,0.7837837837837838,0.7467050467050467,ORDEN_REAL,1
1770842562.080082,fulll49,1770842419,0.7837837837837838,0.7467050467050467,ORDEN_REAL,0
1770842952.376436,fulll46,1770842945,0.75,0.7467050467050467,ORDEN_REAL,0
1770843086.895723,fulll45,1770842945,0.75,0.7467050467050467,ORDEN_REAL,0
1770848187.345997,fulll49,1770848062,0.8,0.7467050467050467,ORDEN_REAL,1
1770849221.894253,fulll50,1770849214,0.8,0.7467050467050467,ORDEN_REAL,1
1770849354.735836,fulll49,1770849224,0.8,0.7467050467050467,ORDEN_REAL,0
1770851591.73925,fulll50,1770851555,0.7792246851363352,0.7462970166731501,ORDEN_REAL,1
1770852808.40482,fulll45,1770852803,0.8333333333333334,0.7462970166731501,ORDEN_REAL,1
1770853504.957368,fulll50,1770853402,0.7514792899408285,0.7475673610777772,ORDEN_REAL,0
1770853575.18634,fulll45,1770853450,0.7514792899408285,0.7475673610777772,ORDEN_REAL,1
1770853849.341945,fulll49,1770853839,0.7514792899408285,0.7475673610777772,ORDEN_REAL,0
1770854031.09135,fulll49,1770853905,0.999999,0.7475673610777772,ORDEN_REAL,0
1770867099.068059,fulll45,1770867094,0.999999,0.75,ORDEN_REAL,0
1770868312.097337,fulll45,1770868306,0.7995222753855283,0.75,ORDEN_REAL,1
1770869151.072731,fulll45,1770869146,0.999999,0.75,ORDEN_REAL,1
1770869339.477246,fulll47,1770869213,0.999999,0.75,ORDEN_REAL,1
1770870288.739314,fulll49,1770870152,0.7619047619047619,0.75,ORDEN_REAL,0
1770871487.796002,fulll47,1770871478,0.7941176470588235,0.7470298723016114,ORDEN_REAL,1
1770874609.771629,fulll45,1770874602,0.8,0.7470749130679585,ORDEN_REAL,1
1770875228.533423,fulll48,1770875224,0.8064516129032258,0.7470749130679585,ORDEN_REAL,0
1770875361.280054,fulll47,1770875224,0.8064516129032258,0.7470749130679585,ORDEN_REAL,1
