bot,n,hits,hit_rate,avg_pred,inflation,wilson_low,wilson_high,beta_bot,semaforo
fulll47,13,9,0.6923076923076923,0.8189737543155482,0.1266660620078559,0.4236888781333764,0.8731950283838191,0.0766660620078559,CRITICO
fulll48,13,7,0.5384615384615384,0.7743158121993231,0.23585427373778467,0.2914343243183205,0.7679424569851186,0.18585427373778468,CRITICO
fulll50,27,14,0.5185185185185185,0.7869534769862225,0.26843495846770404,0.3398532458621043,0.6925704935029092,0.21843495846770405,CRITICO
fulll45,22,11,0.5,0.7977833296302197,0.2977833296302197,0.3072180469247956,0.6927819530752044,0.2477833296302197,CRITICO
fulll49,24,7,0.2916666666666667,0.8034932368614401,0.5118265701947735,0.14914460334164278,0.49168063658709704,0.4618265701947735,CRITICO
fulll46,18,5,0.2777777777777778,0.8219112362078408,0.544133458430063,0.12499569146355474,0.5087307754619452,0.494133458430063,CRITICO
