bot,rows_total,closed,wins,losses,pending,win_rate_closed,last_ts
fulll45,11179,5461,2688,2773,5718,0.49221754257462,2026-02-14T02:34:48.794673+00:00
fulll46,12785,6258,3140,3118,6527,0.5017577500798978,2026-02-14T02:34:31.508591+00:00
fulll47,12770,6257,3118,3139,6513,0.49832187949496565,2026-02-14T02:35:34.732332+00:00
fulll48,12752,6241,3102,3139,6511,0.4970357314532927,2026-02-14T02:34:26.523115+00:00
fulll49,12800,6259,3147,3112,6541,0.5027959737977312,2026-02-14T02:35:39.248974+00:00
fulll50,12820,6273,3071,3202,6547,0.48955842499601465,2026-02-14T02:34:28.261610+00:00
