rsi_9,rsi_14,sma_5,sma_spread,cruce_sma,breakout,rsi_reversion,racha_actual,payout,puntaje_estrategia,volatilidad,es_rebote,hora_bucket,result_bin
53.03,50.92,3110.106,0.0007392991983374703,0.2476106806829399,0.07861324732065607,0.01975000000000001,-1.0,0.95,0.1291588837337688,0.029138995733288375,0.019937500000000004,0.6595744680851063,0
50.06,48.82,3109.926,0.0007826853046015049,0.2571593978669808,0.07749615773293551,0.006200000000000009,3.0,0.95,0.13222194878871443,0.030822409723168187,0.04655,0.6595744680851063,0
67.84,60.78,252728.43600000005,0.0013571796044407702,0.6062550641718605,0.15520077996325168,0.1431,4.0,0.95,0.25398509396252833,0.05283994194269426,0.095775,0.6595744680851063,1
67.66,60.67,252727.02400000003,0.0013529855413671162,0.6056762350569385,0.15453004426323247,0.14164999999999997,4.0,0.95,0.2533838886683169,0.05268103065241392,0.09541249999999998,0.6595744680851063,1
67.67,60.68,252727.108,0.0013532350468638832,0.6057107173008627,0.15457427754390873,0.14175,5.0,0.95,0.2555236574568179,0.052690485056837155,0.1104375,0.6595744680851063,1
67.75,60.72,252727.69000000003,0.001354963762380716,0.605949464289565,0.15485152188115764,0.14234999999999998,-2.0,0.9524999999999999,0.24955551905935672,0.05275598793840308,0.06558749999999999,0.6595744680851063,1
36.35,42.49,789334.344,7.676702327410788e-05,0.2865147587473181,0.042990385712949095,0.10579999999999996,5.0,0.95,0.15320512059910682,0.0030659712121889893,0.10144999999999998,0.6595744680851063,0
35.88,42.14,789331.152,7.979980642029618e-05,0.03788445508854521,0.04464980252865947,0.10989999999999997,-2.0,0.9524999999999999,0.09855182780073225,0.0031869032656415275,0.05747499999999999,0.6595744680851063,0
38.22,43.84,789346.1780000001,6.552335630611497e-05,0.03139047209460932,0.036546591605342585,0.08969999999999997,-1.0,0.9550000000000001,0.08890304186065219,0.0026175026027644988,0.03742499999999999,0.6595744680851063,0
38.97,44.37,789350.5900000001,6.133146823517626e-05,0.279461137568934,0.03401562181336037,0.08330000000000001,5.0,0.95,0.14475369548651484,0.0024502519495159802,0.095825,0.6595744680851063,0
53.85,58.09,9410.612,0.0003312783939145406,0.13567505424710435,0.05646702082787788,0.059700000000000024,1.0,0.95,0.10876789250775891,0.01316372597608828,0.029925000000000007,0.6595744680851063,1
54.58,58.64,9410.656,0.0003347858436240627,0.13684942228576175,0.05882407350503619,0.06609999999999999,6.0,0.95,0.1214555340725966,0.013302167408440813,0.106525,0.6595744680851063,1
60.26,58.96,9412.968,0.0004106129334628088,0.4111837200007634,0.07549678703747555,0.09609999999999999,-2.0,0.9524999999999999,0.17869623443529573,0.016290370390691034,0.054025,0.6595744680851063,0
63.16,61.06,9413.164,0.00042623387959437155,0.16595877223543398,0.0847942785178735,0.12109999999999999,7.0,0.95,0.1477234668653292,0.01690483740490567,0.13527499999999998,0.6595744680851063,0
63.94,61.64,9413.222,0.0004308563732735888,0.41735697404946476,0.08735437197764234,0.12789999999999999,-3.0,0.9537500000000001,0.19181907023792422,0.01708659464796025,0.07697499999999999,0.6595744680851063,0
